BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2016 21:16:45:890 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],ticks,count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
44,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",450,450,0,0,0,0,97,2,0,137.20618556701032,49,0,2,0,0,0,1849,4.108888888888889,3,0.006666666666666667
45,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,2,0,0,97,0,0,140.9090909090909,0,0,0,0,0,0,1842,3684,0,0
46,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,1,0,0,96,2,0,154.1237113402062,41.5,0,2,0,0,0,1944,3888,0,0
47,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,2,0,0,96,1,0,135.43795918367346,441,0,1,0,0,0,1609,3218,11,22
48,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,1,0,98,0,0,141.87755102040816,527.4578586313424,0,1,0,0,0,1844,3688,41,82
49,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",450,450,0,0,0,0,99,0,0,131.8181818181818,0,0,0,0,0,0,1853,4.1177777777777775,0,0
50,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,0,0,98,1,0,136.10204081632654,252,0,1,0,0,0,1669,3338,13,26
51,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",450,450,0,0,0,0,97,2,0,134.79381443298968,49,0,2,0,0,0,1924,4.275555555555556,2,0.0044444444444444444
52,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,0,0,98,1,0,136.3673469387755,450,0,1,0,0,0,1812,3624,25,0.05
53,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",485,485,0,0,0,0,98,1,0,147.14285714285714,473,0,1,0,0,0,2096,4.321649484536082,38,0.07835051546391752
54,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",450,450,0,0,0,0,98,1,0,154,409,0,1,0,0,0,1956,4.346666666666667,64,0.14222222222222222
55,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,1,0,0,97,1,0,136.27551020408163,180,0,1,0,0,0,1714,3428,22,44
56,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,1,0,98,0,0,147.75510204081633,521.188306059264,0,1,0,0,0,1985,3.97,33,66
57,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,1,1,0,97,0,0,139.92857142857142,477.61632000000003,0,1,0,0,0,1775,3.55,10,0.02
58,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,0,0,0,98,1,0,131.78571428571428,316,0,1,0,0,0,1631,3262,21,42
59,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",400,400,0,0,0,0,97,2,0,134.9278350515464,103,0,2,0,0,0,1804,4.51,22,55
60,500,0,15,50,50,99,0,false,true,false,"""normal""",false,"""normal""",500,500,0,1,0,0,97,1,0,154.08163265306123,98,0,1,0,0,0,1942,3884,11,22
