BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2016 11:29:37:493 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
57,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",500,1,0,0,92,38,1,98.98566308243727,117.34210526315789,28,6,1,0,1184,2368,732,1464,0,0
58,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",396,0,0,0,94,38,0,99.69148936170212,79.8157894736842,0,5,0,0,1194,3.015151515151515,542,1.3686868686868687,0,0
59,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",261,0,0,0,93,39,0,90.83870967741936,107,0,6,0,0,1349,5.168582375478927,650,2.4904214559386975,0,0
60,500,0,15,50,50,33,99,false,true,false,"""normal""",false,"""normal""",400,0,0,0,95,36,1,97.74736842105263,100.94444444444444,57,4,1,0,1481,3.7025,672,1.68,7,0.0175
61,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",369,0,0,0,33,99,0,138.21212121212122,104.54545454545455,0,0,0,0,793,2.149051490514905,2293,6.21409214092141,0,0
62,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",484,0,0,0,33,97,2,151.24242424242425,98.38144329896907,135,0,2,0,596,1.2314049586776858,2103,4.345041322314049,41,0.08471074380165289
63,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",346,0,0,0,31,101,0,140.7741935483871,100.70297029702971,0,2,0,0,664,1.9190751445086704,1965,5.679190751445087,0,0
64,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",352,0,0,0,33,98,1,134.03030303030303,102.66326530612245,181,0,1,0,566,1.6079545454545454,1958,5.5625,23,0.06534090909090909
65,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",450,0,0,0,32,98,2,122.59375,111.78571428571429,122,1,2,0,572,1.271111111111111,2213,4.917777777777777,21,0.04666666666666667
66,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",350,0,0,0,33,98,1,137.5151515151515,110.71428571428571,6,0,1,0,623,1.78,2235,6.385714285714286,0,0
67,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",352,0,0,0,31,100,1,118.87096774193549,106.33,144,2,1,0,550,1.5625,2328,6.613636363636363,20,0.056818181818181816
68,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",400,0,0,0,32,98,2,152.25,102.75510204081633,26.5,1,2,0,625,1.5625,2022,5055,1,0.0025
